Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B;Measles;BMI;Polio;Diphtheria;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy
Peru;South America;2004;No;22;28,3;4,54;92;51;25,4;81;86;0,19;3671;27,62;1,3;1,3;8,6;72,6
Slovenia;European Union;2005;Yes;3,5;4,2;11,19;88;99;25,7;95;95;0,03;19239;2;1,9;2;11,7;77,6
Antigua and Barbuda;Central America and Caribbean;2000;No;12,6;15,5;6,86;98;58;25,1;96;95;0,1;14070;0,08;3,7;3,6;7;73,9
Nepal;Asia;2001;No;55,8;74,6;0,091;46;65;20,8;73;72;0,17;578;24,35;18,3;19;2,5;62,9
Trinidad and Tobago;Central America and Caribbean;2000;No;24,7;27,9;4,81;83;77;25,9;90;90;0,4;10669;1,27;6,7;7,2;9,2;69,4
Central African Republic;Africa;2015;No;87,9;123,3;0,9;47;64;22,8;51;47;1,12;377;4,49;8,2;8,2;4,2;50,9
Uganda;Africa;2007;No;57,9;92,8;10,77;73;64;21,7;70;73;3,56;688;29,49;6,3;6,3;4,8;53,9
Oman;Middle East;2002;No;12,5;14,5;0,53;99;98;25,5;99;99;0,05;20702;2,33;7,1;6,8;5,9;73
Norway;Rest of Europe;2008;Yes;2,9;3,6;6,75;88;95;26,3;94;94;0,03;75044;4,77;0,7;0,7;12,7;80,6
Mexico;North America;2005;No;19,5;22,9;5,03;98;97;27,2;98;98;0,15;8878;106,01;1,8;1,7;7,6;75,3
Senegal;Africa;2011;No;40,7;62,1;0,21;92;33;22,8;89;92;0,16;1133;13,03;1,2;1,1;2,4;64,9
Lesotho;Africa;2012;No;70,2;92,7;2,47;95;82;24,8;93;95;11,57;1097;2,01;6,4;6,2;5,9;47,4
Uruguay;South America;2004;No;13,2;15,1;5,88;94;92;26,2;95;94;0,18;9464;3,32;1,7;1,6;8;75,6
Pakistan;Asia;2010;No;70,1;87,1;0,04;82;34;23,4;52;82;0,13;1239;179,42;2,2;2,7;4,7;65,3
Russian Federation;Rest of Europe;2013;No;7,6;9,4;9,77;97;97;26,2;98;97;0,08;9622;143,51;2,3;2,3;11,8;70,6
Ukraine;Rest of Europe;2012;No;9,2;10,7;8,54;46;54;26,4;72;76;0,26;2460;45,59;2,4;2,4;11,3;70,9
Liberia;Africa;2001;No;119,7;176,6;4,42;58;64;23,1;54;42;3,5;770;2,95;9;9;3,5;52,2
Samoa;Oceania;2011;No;16,5;19,2;2,1;58;50;31,6;79;65;0,17;4219;0,19;0,2;0,1;10,2;71,9
Bulgaria;European Union;2014;Yes;7,3;8,7;10,3;95;89;26,3;88;88;0,03;6797;7,22;1,9;1,9;10,9;74,5
Cote d'Ivoire;Africa;2012;No;71;100,1;1,2;82;64;23,6;83;82;1;1637;21,55;5,9;5,9;4,5;54,3
Denmark;European Union;2010;Yes;3,5;4,1;10,27;88;85;25,3;90;90;0,04;51173;5,55;1,1;0,9;12,7;79,1
Trinidad and Tobago;Central America and Caribbean;2009;No;20,7;23,2;5,93;90;80;26,9;90;90;0,4;17700;1,32;6;6,4;10,7;71,7
Switzerland;Rest of Europe;2002;Yes;4,5;5,4;10,85;88;71;24,9;95;93;0,1;74138;7,28;0,6;0,5;11,7;80,4
Togo;Africa;2001;No;73,7;116,4;0,88;81;64;22,1;51;50;2,66;496;5,06;9,2;9,1;4;53,6
Mali;Africa;2001;No;98,8;181,1;0,6;78;64;21,6;56;49;0,99;641;11,27;1,8;1,7;1,3;48,8
Colombia;South America;2010;No;15,7;18,3;4,22;88;74;25,7;88;88;0,21;5163;45,22;2,2;2;7,4;75,4
Mali;Africa;2004;No;90,7;162,2;0,55;73;64;22;70;69;0,81;667;12,37;1,1;1;1,6;51,2
China;Asia;2013;No;9,8;12,5;5,62;99;99;23,5;99;99;0,1;7056;1363,24;3,8;3,2;7,5;75,3
Malawi;Africa;2012;No;45,6;70,7;1,87;96;64;22,6;95;96;3,69;362;15,4;6,6;6,5;4,3;58,6
Algeria;Africa;2008;No;25,3;29,5;0,37;91;96;24,9;92;93;0,02;3856;34,73;6;5,9;6,7;74,3
South Africa;Africa;2003;No;48,4;75,7;7,32;71;52;26,4;70;69;11,87;5203;46,72;13,5;16,1;8,8;53,7
Colombia;South America;2004;No;18,9;22,1;4,13;89;70;25,2;89;89;0,21;4257;42,08;2,4;2,2;6,6;74
Mexico;North America;2006;No;18,8;22,1;5,2;98;91;27,2;98;98;0,16;9143;107,56;1,8;1,7;8;75,3
India;Asia;2009;No;47,2;61,4;2,46;37;34;21,3;73;74;0,11;1162;1217,73;27;27,8;5,3;66,2
Slovak Republic;European Union;2003;Yes;7,3;8,8;10,23;99;97;25,6;98;99;0,01;10178;5,37;1,5;1,6;10,4;73,6
South Africa;Africa;2013;No;30,1;39,3;7,21;73;50;27,1;79;73;7,97;6285;53,69;5,4;6,5;9,9;61,1
Libya;Africa;2003;No;21,9;25,5;0,012;96;90;27,1;95;95;0,06;11265;5,62;5,6;5,4;6,1;71,5
Uganda;Africa;2014;No;40,6;58,8;7,25;78;64;22,3;78;78;2,26;834;36,91;5,7;5,6;5,5;60,7
Cambodia;Asia;2005;No;52,8;64,7;1,1;84;48;21,1;82;82;0,35;696;13,27;11,5;11,6;3,5;63,1
Cabo Verde;Africa;2004;No;24;28,6;4,25;91;96;23,7;94;93;0,38;2287;0,46;8,7;8,7;4,2;70,2
Armenia;Rest of Europe;2001;No;25,7;29,1;2,87;69;96;25,7;97;94;0,08;1422;3,05;2,1;2,1;10,7;71,8
Norway;Rest of Europe;2002;Yes;3,7;4,6;5,89;88;90;25,8;93;93;0,03;69106;4,54;0,8;0,7;12,1;79
Ukraine;Rest of Europe;2003;No;13,6;15,8;6,81;77;99;25,9;99;97;0,49;1833;47,81;2,8;2,9;10,6;68,2
Slovenia;European Union;2014;Yes;2,2;2,7;10,92;88;94;26,4;95;95;0,01;20454;2,06;1,4;1,4;11,9;81,1
Liberia;Africa;2014;No;66;92,1;3,02;63;64;24;62;50;3,5;740;4,36;6,7;6,5;4,4;61,7
Estonia;European Union;2002;Yes;7,3;9,3;12,16;93;94;25,6;94;94;0,08;11417;1,38;2,3;2,4;11,9;70,9
India;Asia;2003;No;60;81,1;1,17;67;34;20,9;57;61;0,19;845;1111,52;27,3;28,3;4,7;63,7
Bhutan;Asia;2008;No;38;47,8;0,16;96;72;23,1;96;96;0,17;1909;0,67;17,1;17,8;2,3;67,3
Croatia;European Union;2001;Yes;6,9;8;13,69;96;98;25,7;94;94;0,01;9428;4,3;2;2;9,8;74,5
Australia;Oceania;2015;Yes;3,3;3,9;9,68;93;93;27,1;93;93;0,04;56707;23,82;0,6;0,6;12,8;82,4
St Vincent and the Grenadines;Central America and Caribbean;2000;No;19,2;22,2;5,13;99;83;25,5;99;98;0,4;5339;0,11;4;3,9;7,6;70,8
Egypt Arab Rep;Africa;2015;No;19,8;23,3;0,18;93;64;29,5;93;93;0,13;3563;92,44;2,8;2,8;7,1;71,3
Zambia;Africa;2000;No;90,2;155,9;2,82;81;39;21,5;85;85;9,75;774;10,42;7,5;7,5;5,9;44
Zambia;Africa;2004;No;67,1;115,2;2,75;81;39;21,8;84;83;8,23;879;11,55;7,2;7,1;6,2;47,4
Brazil;South America;2009;No;17,5;19,5;6,95;99;55;25,7;99;99;0,25;8169;193,89;3;2,9;6,8;73,3
Belgium;European Union;2003;Yes;4,3;5,2;11,28;64;78;25,6;96;95;0,08;36617;10,38;0,8;0,8;10,4;78,1
Mauritius;Africa;2009;No;12,5;14,6;2,8;99;85;24,9;99;99;1,04;7508;1,25;7,3;7,3;8;72,9
Hungary;European Union;2002;Yes;7,6;9;13,28;88;99;26,1;98;99;0,08;9829;10,16;2,2;2,2;10,3;72,3
Moldova;Rest of Europe;2004;No;18,3;21,5;7,61;99;92;26,2;98;98;0,35;1770;2,9;3,2;3,4;10,1;67,7
Cote d'Ivoire;Africa;2010;No;74,7;106,3;1,12;85;64;23,5;81;85;1,24;1687;20,53;6,3;6,2;4,2;53
Denmark;European Union;2005;Yes;4,2;5;11,26;88;91;25,1;93;93;0,04;51836;5,42;1,2;1;12,8;77,8
Georgia;Rest of Europe;2015;No;9,4;10,5;6,95;94;91;27,5;91;94;0,14;4014;3,73;2,7;2,8;12,7;73
United Arab Emirates;Middle East;2001;No;9,3;10,9;1,62;92;92;27,2;94;94;0,13;58422;3,3;5,3;5,1;8,4;74,5
New Zealand;Oceania;2000;Yes;6,1;7,4;8,83;90;86;26,7;82;90;0,02;30863;3,86;0,3;0,3;11,6;78,6
Barbados;Central America and Caribbean;2007;No;14,2;15,4;8,07;93;96;27,1;93;93;0,49;18205;0,28;3,9;3,9;9,3;78,1
Lesotho;Africa;2005;No;74;116,1;1,94;87;68;24,3;88;89;16,19;836;2;9,3;9,2;5,3;42,7
United Kingdom;Rest of Europe;2002;Yes;5,4;6,3;11,33;88;86;26,5;91;91;0,08;40563;59,37;0,7;0,5;11,9;78,1
Ghana;Africa;2003;No;58;88,5;1,91;80;55;22,9;80;80;1,48;1105;20,75;8,6;8,5;6,3;57,8
India;Asia;2002;No;62,1;84,5;1,08;67;34;20,8;58;59;0,22;797;1093,32;27,4;28,4;4,6;63,3
Iceland;Rest of Europe;2001;Yes;3,1;3,9;6,32;88;90;25,6;92;92;0,02;43288;0,28;1;0,9;9,6;80,7
Japan;Asia;2001;Yes;3,1;4,3;8,01;83;86;22,5;81;95;0,17;31476;127,15;1,7;1,4;10,8;81,4
Georgia;Rest of Europe;2003;No;25,5;28,8;2,79;48;57;26,1;74;75;0,05;1984;3,95;2,9;3;12;70,3
Ethiopia;Africa;2013;No;47,3;69,6;0,57;72;64;20,5;70;72;0,25;556;95,39;1,6;1,4;2,5;64
North Macedonia;Rest of Europe;2001;No;13,2;14,8;4,4;74;97;25,7;91;91;0,08;3169;2,03;2,8;2,8;6,8;73,4
Tunisia;Africa;2006;No;17,9;21;1,32;99;98;25,6;99;99;0,03;3494;10,2;6,3;6,3;5,9;74,4
Montenegro;Rest of Europe;2012;No;4,6;5,5;9,37;90;97;26,2;94;94;0,03;5996;0,62;1,9;1,9;11,2;76,2
St, Lucia;Central America and Caribbean;2013;No;18,5;20,9;8,93;99;83;29,4;99;99;0,4;10148;0,18;4,3;4,3;8,4;75,3
Liberia;Africa;2005;No;90,7;129,6;4,2;58;64;23,4;66;60;3,5;554;3,22;8,3;8,3;3,8;55,4
Guatemala;Central America and Caribbean;2011;No;27,6;33,4;2,05;88;83;26,1;88;88;0,05;3689;14,52;1,2;1,2;5,3;71,9
Fiji;Oceania;2003;No;19,2;22,5;2,07;99;85;26,5;95;94;0,04;4339;0,82;4,2;3,9;9,3;66,2
Nigeria;Africa;2006;No;92,3;150,1;11,18;27;64;22,8;46;40;0,95;2013;142,54;12,6;12,6;5,2;48,8
Namibia;Africa;2012;No;37,9;50,5;2,37;84;64;23,9;84;84;5,38;4421;2,19;9,5;9,4;6,4;59,4
Cameroon;Africa;2002;No;83,7;137,5;4,54;81;64;23,3;66;66;3,58;1144;16,36;7,4;7,5;5,1;51,5
Vanuatu;Oceania;2010;No;24,3;29,1;1,36;62;65;25,9;74;65;0,17;2856;0,24;1,5;1,4;6,7;69,1
Hungary;European Union;2004;Yes;6,7;7,9;13,28;88;99;26,2;99;99;0,08;10797;10,11;2,1;2,1;10,6;72,6
Guinea;Africa;2003;No;89,5;144,9;0,18;57;64;22;61;57;1,22;653;8,75;9,7;9,7;1,5;51,9
Cyprus;European Union;2012;Yes;2,6;3,1;10,58;96;88;26,8;99;99;0,06;24217;1,14;0,9;1;11,8;79,8
Bosnia and Herzegovina;Rest of Europe;2000;No;8,7;9,9;3,87;92;74;24,8;87;85;0,08;2848;3,75;3,3;3,2;7;74,4
Luxembourg;European Union;2008;Yes;2,4;3;11,99;94;86;26;96;99;0,09;110095;0,49;0,9;0,9;11,7;80,5
Bosnia and Herzegovina;Rest of Europe;2007;No;7,2;8,3;5,03;94;95;25,2;95;95;0,08;3910;3,76;2,8;2,8;7,5;75,5
Vanuatu;Oceania;2013;No;24,3;29,1;1,61;64;65;26;78;64;0,17;2751;0,26;1,5;1,4;6,8;69,6
Seychelles;Africa;2014;No;12,6;14,7;8,44;99;98;26,6;99;99;3,5;14672;0,09;5,7;6;9,4;73,2
Bahamas;Central America and Caribbean;2015;No;12;14;9,27;95;83;27,9;95;95;0,34;31699;0,37;2,5;2,5;11,1;73,1
Trinidad and Tobago;Central America and Caribbean;2001;No;24,5;27,7;4,7;86;80;26;91;91;0,4;11074;1,27;6,6;7,1;9,3;69,7
Suriname;South America;2015;No;18,2;20,3;4,75;89;21;26,5;78;89;0,47;9168;0,56;3,5;3,5;8,4;71,2
Luxembourg;European Union;2015;Yes;2,3;2,8;11,37;94;86;26,3;99;99;0,1;105462;0,57;1;0,9;12;82,3
Comoros;Africa;2011;No;60,5;82;0,11;83;64;23,9;85;83;0,02;1228;0,71;7;6,8;4,4;62,2
Russian Federation;Rest of Europe;2003;No;12,9;16,1;11,32;94;96;25,9;97;96;0,08;6370;144,65;2,6;2,8;11,4;65
Finland;European Union;2007;Yes;2,8;3,5;10,45;88;92;25,9;97;99;0,08;46213;5,29;0,9;0,8;12;79,3
Portugal;European Union;2010;Yes;3,1;3,8;11,26;97;95;25,8;97;98;0,16;19670;10,57;0,7;0,5;8,1;79
Jordan;Middle East;2005;No;19,7;23,2;0,51;95;92;28,2;95;95;0,13;4341;5,77;3,9;3,8;9,7;72,6
Kazakhstan;Asia;2009;No;20;22,5;3,16;99;99;26;99;98;0,11;8488;16,09;2,3;2,5;11,5;68,4
Equatorial Guinea;Africa;2014;No;69,9;96,8;8,64;53;64;23,9;55;20;4,04;12927;1,12;8,5;8,4;5,5;57
Lithuania;European Union;2012;Yes;4,2;5,2;14,97;93;93;26,4;93;93;0,09;12679;2,99;2,7;2,7;11,7;73,9
Gambia;Africa;2012;No;43,2;67,7;2,74;98;64;23,6;98;98;1,08;685;1,91;7,8;7,7;3,1;60,2
Iceland;Rest of Europe;2009;Yes;2,2;2,8;7,24;88;93;26;96;96;0,05;49527;0,32;0,9;0,9;10,5;81,8
Antigua and Barbuda;Central America and Caribbean;2013;No;7,1;8,5;9,43;99;87;26,4;98;99;0,2;13554;0,09;3,3;3,3;9,2;76,2
Egypt Arab Rep;Africa;2014;No;20,5;24,3;0,19;94;64;29,3;94;94;0,13;3490;90,42;2,8;2,8;7;71,1
United States;North America;2008;Yes;6,5;7,6;8,74;94;86;28,4;94;96;0,13;53854;304,09;0,7;0,6;13,2;78
Libya;Africa;2015;No;11,4;13,3;0,01;97;97;28;97;97;0,08;7590;6,42;5,8;5,5;7,3;72,1
Romania;European Union;2012;Yes;9,5;11,2;9,66;96;90;26,3;92;91;0,04;8005;20,06;2,8;3;10,9;74,4
Lebanon;Middle East;2008;No;9,8;11,4;1,57;81;65;27;75;81;0,03;7961;4,76;4,7;4,7;7,8;77,9
Congo Rep;Africa;2006;No;53,1;79,8;1,3;71;64;22,5;73;73;2,15;2269;3,75;8,7;8,3;5,9;56,6
Sweden;European Union;2005;Yes;3;3,6;6,53;60;95;25,5;98;98;0,08;45990;9,03;1,3;1,3;12,4;80,5
Niger;Africa;2010;No;61,9;121,9;0,11;70;64;21,5;75;70;0,08;443;16,46;1,7;1,6;1,4;57,3
Nicaragua;Central America and Caribbean;2009;No;21,1;24,9;3,32;98;83;26,6;99;98;0,12;1630;5,75;1,9;1,8;5,9;72,2
Denmark;European Union;2000;Yes;4,7;5,7;11,68;88;89;24,9;97;97;0,04;49242;5,34;1,3;1;10,7;76,6
Ghana;Africa;2004;No;56,4;85,6;0,55;80;55;23,1;81;80;1,39;1139;21,27;8,4;8,3;6,4;58,2
Libya;Africa;2006;No;18,6;21,7;0,011;98;96;27,3;98;98;0,08;13386;5,89;5,5;5,4;6,6;72,1
Timor-Leste;Oceania;2002;No;76,8;96,5;0,48;75;64;20;38;54;0,04;980;0,92;12,1;12,1;2,9;60,9
Israel;Middle East;2007;Yes;4,1;5,1;2,46;99;90;26,7;95;95;0,08;31208;7,18;1,1;1,1;12,5;80,5
Peru;South America;2013;No;13,3;17,1;5,27;88;54;26,3;71;88;0,12;6030;29,77;1,1;1,1;8,8;75,3
Trinidad and Tobago;Central America and Caribbean;2005;No;23;25,9;5,75;95;84;26,5;95;95;0,4;15383;1,3;6,3;6,7;10;70,7
Maldives;Asia;2010;No;11,9;13,9;1,58;97;96;24,6;97;96;0,17;8522;0,37;14;14,1;4,9;75,9
El Salvador;Central America and Caribbean;2014;No;13,8;16,1;2,45;93;85;27,5;93;94;0,19;3636;6,3;1,6;1,6;6,5;72,2
Malawi;Africa;2006;No;61,6;104,2;1,94;99;64;22,2;99;99;5,99;295;12,97;7,3;7,1;3,6;49,1
Denmark;European Union;2002;Yes;4,6;5,5;11,32;88;92;25;98;98;0,04;49542;5,38;1,2;1;12,1;76,9
United States;North America;2015;Yes;5,8;6,8;8,78;92;86;28,8;93;95;0,12;56763;320,74;0,8;0,6;13,3;78,7
Albania;Rest of Europe;2010;No;11,8;13,3;4,88;99;98;26,1;99;99;0,03;3577;2,91;1,4;1,5;9,3;76,6
Kazakhstan;Asia;2004;No;29;33,1;6,23;99;99;25,7;99;82;0,06;6581;15,01;2,5;2,6;11,5;66,1
Burundi;Africa;2011;No;56,3;85,5;4,56;96;57;21,4;95;96;0,45;316;8,96;7,6;7,6;2,6;57,9
Niger;Africa;2006;No;74,8;159,3;0,1;72;64;21,3;52;51;0,22;420;14,14;11,6;11,5;1,3;54,2
Latvia;European Union;2014;Yes;4,6;5,5;10,6;92;89;26,5;92;92;0,28;13163;1,99;2,2;2,2;12,9;74,1
Maldives;Asia;2011;No;11,1;12,9;1,69;96;96;24,7;96;96;0,17;8893;0,38;13,9;14;5,2;76,3
Venezuela;South America;2009;No;14,6;17;7,75;84;83;26,6;75;84;0,4;11765;28,03;1,6;1,5;8,3;73,1
Croatia;European Union;2000;Yes;7,2;8,3;13,24;96;98;25,6;94;93;0,01;8806;4,47;2,1;2,1;9,4;72,8
United Kingdom;Rest of Europe;2010;Yes;4,4;5,2;10,01;88;86;27;94;94;0,08;42488;62,77;0,8;0,5;13,2;80,4
Argentina;South America;2010;No;12,9;14,5;8,15;94;94;27,1;95;94;0,14;13551;40,79;1;0,9;9,8;75,3
Argentina;South America;2015;No;10,2;11,5;8,49;94;87;27,6;93;94;0,13;13789;43,13;1;0,9;9,8;76,1
Chile;South America;2005;No;7,7;9,1;7,57;94;96;27;92;91;0,15;10210;16,18;0,9;1;9,5;77,6
Mauritania;Africa;2008;No;63,8;101,1;0,018;74;64;24,4;73;74;0,24;1462;3,3;9,2;8,9;3,6;62
Luxembourg;European Union;2006;Yes;2,6;3,2;12,5;95;86;25,9;99;99;0,08;105614;0,47;0,9;0,9;11,5;79,3
Indonesia;Asia;2009;No;29;35,2;0,074;82;67;22,4;85;78;0,21;2595;238,62;1,7;1,6;7,4;68,9
South Africa;Africa;2008;No;43;68,9;7,46;76;54;26,8;77;79;10,58;6171;49,78;8,9;1,7;9,7;55,4
Syrian Arab Republic;Middle East;2004;No;17,2;20,1;0,61;82;82;27,2;84;81;0,13;1486;17,83;6,5;6,3;5,4;74,3
United States;North America;2006;Yes;6,7;7,9;8,63;93;86;28,2;93;96;0,13;53738;298,38;0,7;0,6;12,8;77,7
Gabon;Africa;2013;No;37,9;54,9;7,57;79;64;25;77;79;1,37;7305;1,82;6,2;6,1;8,1;63,6
Syrian Arab Republic;Middle East;2011;No;16,7;20,1;0,6;66;71;27,8;60;72;0,13;1773;21,08;6,3;6,1;6,3;71,3
Namibia;Africa;2000;No;45;75,8;2,65;83;64;22,9;80;79;11,85;3125;1,79;15,7;15,9;5,6;52,2
Bhutan;Asia;2015;No;27,4;33,1;0,04;99;94;23,8;98;99;0,13;2753;0,73;15,4;16;3,1;70,4
Niger;Africa;2013;No;55;102,7;0,09;67;64;21,7;62;67;0,07;470;18,5;1;9,9;1,7;59,5
Maldives;Asia;2000;No;31,7;39;1,99;96;70;23,1;98;98;0,17;6982;0,28;14,8;14,8;3;70,2
Turkiye;Middle East;2009;No;16,6;19,5;1,52;94;65;27,4;96;96;0,08;7942;71,32;4,9;4,8;6,5;74,1
Turkmenistan;Asia;2008;No;39,1;45,5;2,12;96;99;25,6;96;96;0,08;3795;4,94;3,2;3,3;9,9;66
Sierra Leone;Africa;2007;No;117,6;182;3,67;63;60;22,5;63;64;1,32;501;5,99;8,9;8,9;2,8;46,5
Micronesia Fed Sts;Oceania;2010;No;27,4;33,1;1,75;88;65;29,3;85;85;0,17;3085;0,1;0,2;0,2;7,2;66,5
Tanzania;Africa;2006;No;55,8;88,8;6,09;90;64;22,5;91;90;3,27;717;39,55;7,6;7,5;4,8;55,1
Thailand;Asia;2002;No;17;19,9;5,86;95;89;23;97;96;0,53;3795;64,07;9,2;9,5;6,5;71,1
Tunisia;Africa;2011;No;15,5;18;1,25;98;96;25,9;98;98;0,04;3836;10,74;6,4;6,3;6,9;75,2
Timor-Leste;Oceania;2014;No;44,3;52,1;0,41;77;64;21,1;76;77;0,1;1321;1,17;1,9;11,1;4,5;68,2
Syrian Arab Republic;Middle East;2014;No;27,7;47;0,19;47;49;28,1;52;43;0,13;973;18,71;6,3;6,1;5,6;69,8
Bangladesh;Asia;2010;No;38,9;49,1;0;94;65;21,1;94;94;0,01;973;147,58;18,9;19,4;4,9;69,9
New Zealand;Oceania;2004;Yes;5,6;6,7;9,17;88;86;27,1;87;89;0,03;34310;4,09;0,3;0,3;11,6;79,5
Sweden;European Union;2014;Yes;2,4;2,9;7,2;67;95;26;97;98;0,08;49855;9,7;1,5;1,3;12,3;82,3
Ethiopia;Africa;2002;No;80,3;128,3;0,16;52;64;20;55;35;0,95;272;70,14;11,7;11,6;1,7;53,3
Malawi;Africa;2003;No;76,8;131,6;1,22;84;64;22;85;84;7,52;279;12;7,6;7,5;3,3;46,1
Cyprus;European Union;2015;Yes;2,4;2,9;9,59;97;88;26,8;97;97;0,06;23408;1,16;1;1;11,9;80,4
Jamaica;Central America and Caribbean;2005;No;17;19,9;3,36;99;91;26,2;99;99;0,79;5138;2,74;1,9;1,7;8,1;74,1
Jordan;Middle East;2014;No;15,4;17,9;0,35;98;98;28,8;98;98;0,13;4221;8,92;3,9;3,9;10,1;74
Georgia;Rest of Europe;2000;No;31,9;36,6;3,29;55;51;25,8;81;80;0,02;1567;4,08;3,1;3,1;11,7;69,9
Mexico;North America;2008;No;17,6;20,6;4,27;97;94;27,4;96;96;0,16;9181;110,82;1,7;1,6;8;75,2
Turkmenistan;Asia;2005;No;44,4;52,3;2,63;99;98;25,2;99;99;0,08;2787;4,75;3,4;3,4;9,9;65
Cyprus;European Union;2008;Yes;3,1;3,7;12,03;93;89;26,7;97;97;0,05;27447;1,08;0,9;1;11,3;79,1
Belgium;European Union;2000;Yes;4,8;5,8;11,21;60;78;25,5;96;95;0,08;35675;10,25;0,8;0,8;10;77,7
Uganda;Africa;2002;No;79,2;131,6;11,64;57;64;21,3;57;57;4,31;555;25,17;6,8;6,8;4,2;48,3
Cabo Verde;Africa;2015;No;16,7;19,5;4,54;96;95;24,5;93;93;0,26;3043;0,52;6,6;6,6;5,9;72,1
Morocco;Africa;2013;No;22,6;26,3;0,46;99;75;25,7;99;99;0,04;2755;33,72;6,4;6,2;4,8;75,2
Somalia;Africa;2011;No;93,8;152,8;0;42;64;22,9;49;41;0,13;313;12,38;6,9;6,7;2,1;54,3
Qatar;Middle East;2007;No;8,4;9,8;1,16;94;91;28,2;97;94;0,05;60927;1,22;4,9;4,5;9,6;78,6
Bolivia;South America;2007;No;38,7;49,8;3,38;84;83;25,5;85;84;0,19;2314;9,56;1,3;1,2;7,1;66,4
Lao PDR;Asia;2015;No;42,1;53,8;7,09;89;65;22,8;89;89;0,15;2140;6,74;8,8;8,9;5,1;66,5
Nepal;Asia;2004;No;48,2;62,7;0,23;27;65;21,1;80;80;0,17;603;25,42;17,8;18,4;2,7;64,7
Botswana;Africa;2008;No;40,3;57,6;7,52;94;83;24,1;96;96;9,09;5838;1,92;8,8;8,6;8,6;56,7
Nigeria;Africa;2007;No;89,8;145,6;11,04;42;64;22,8;54;42;0,88;2090;146,34;12,3;12,3;5,2;49,4
Belarus;Rest of Europe;2008;No;5,1;6,6;14,58;98;99;26,2;98;97;0,2;5181;9,53;2,1;2,3;11,3;70,5
Turkiye;Middle East;2006;No;20,5;24,3;1,39;82;65;27,2;90;90;0,08;8174;68,76;5;4,8;6,1;72,8
Guinea-Bissau;Africa;2004;No;92,6;150,7;3,56;83;64;22,5;69;64;3,12;552;1,31;9,4;9,3;2,3;51,9
United Kingdom;Rest of Europe;2009;Yes;4,6;5,4;9,98;88;86;26,9;93;93;0,08;41929;62,28;0,8;0,5;13,1;80,1
Lithuania;European Union;2009;Yes;5,4;6,7;12,97;95;94;26,3;98;98;0,08;10700;3,16;2,8;2,9;11,5;72,9
Singapore;Asia;2011;No;2,2;2,8;1,89;96;96;23,6;96;96;0,1;50714;5,18;2,1;2,1;11,2;81,7
Gabon;Africa;2009;No;42,9;64,2;8,12;79;64;24,6;74;76;2,03;6635;1,57;6,7;6,5;7,4;60,6
Belize;Central America and Caribbean;2012;No;15,2;17,7;6,35;98;93;28,6;98;98;0,37;4734;0,34;3,5;3,4;10,5;73
Kyrgyz Republic;Asia;2000;No;42,5;49,8;5,33;44;65;24,7;99;99;0,02;718;4,9;3,6;3,6;9,8;68,6
Micronesia Fed Sts;Oceania;2004;No;28,7;34,8;2,03;80;65;29;82;78;0,17;2949;0,11;0,2;0,2;5,8;65,3
Sweden;European Union;2004;Yes;3,1;3,7;6,51;60;95;25,4;99;99;0,08;44891;8,99;1,3;1,3;12,3;80,5
Mexico;North America;2004;No;20,2;23,9;5;98;97;27,1;98;98;0,15;8801;104,51;1,8;1,8;7,4;75,2
Niger;Africa;2002;No;90,1;204,5;0,088;72;64;20,9;43;39;0,38;418;12,19;12,5;12,5;1,2;51,3
Eswatini;Africa;2012;No;50,6;66;6,49;95;52;26,5;92;95;15,74;3513;1,08;4,8;4,9;6,1;49,9
Malta;European Union;2004;Yes;6,2;7,1;6,61;85;31;27;89;89;0,08;17653;0,4;0,7;0,7;8,6;79,3
Equatorial Guinea;Africa;2010;No;79,1;111,2;8,96;46;64;23,5;61;44;4,42;13841;0,94;9;9;5,5;55,6
Montenegro;Rest of Europe;2010;No;5,7;6,7;9,94;90;97;26,1;93;94;0,03;5982;0,62;2;2;11,1;76
Syrian Arab Republic;Middle East;2010;No;16,2;18,9;0,77;84;82;27,7;83;80;0,13;1701;21,36;6,4;6,1;6,3;72,1
Guinea;Africa;2004;No;86,5;139,5;0,34;57;64;22,1;65;60;1,16;655;8,93;9,5;9,5;1,6;52,5
Cuba;Central America and Caribbean;2014;No;4,6;5,8;4,54;97;98;25,5;99;99;0,16;7379;11,31;3,4;3,3;11,2;78,5
Argentina;South America;2003;No;15,8;17,7;7,62;73;80;26,4;95;96;0,15;9630;38,09;1,2;1;9,3;74,1
Norway;Rest of Europe;2006;Yes;3,2;3,9;6,47;88;91;26,1;94;94;0,03;74190;4,66;0,8;0,7;12,5;80,3
Barbados;Central America and Caribbean;2012;No;13,6;14,7;8,9;87;90;27,5;88;87;0,33;16505;0,28;3,8;3,8;10,5;78,5
Rwanda;Africa;2008;No;50,2;76,3;7,51;97;87;21,5;97;97;1,22;554;9,52;6,7;6,6;3,2;60,6
Bangladesh;Asia;2002;No;57;76,5;0,003;75;63;20,4;83;83;0,01;687;132,48;2,5;21,1;4,3;66,4
