Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B_alt;Measles_alt;Polio_alt;Diphtheria_alt;BMI;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy
Singapore;Asia;2015;No;2.2;2.7;1.82;alta;alta;alta;alta;23.6;0.07;55647;5.54;2.2;2.2;11.5;82.7
Uzbekistan;Asia;2014;No;18.6;20.8;2.5;alta;alta;alta;alta;26.6;0.14;2614;30.76;3;3.1;11.3;70.7
Malawi;Africa;2009;No;54.5;89.4;1.73;alta;moderada;alta;alta;22.4;4.66;346;14.13;6.9;6.8;4.1;53.9
Canada;North America;2006;Yes;5.2;6;8.2;baixa;elevada;alta;alta;26.7;0.1;39776;32.57;0.5;0.4;12.3;80.3
Iraq;Middle East;2012;No;27.1;32.8;0.17;moderada;moderada;elevada;moderada;28.3;0.13;4631;31.89;5.3;5.1;6.6;69.1
Portugal;European Union;2005;Yes;3.6;4.6;11.97;alta;elevada;alta;alta;25.8;0.19;19224;10.5;0.7;0.6;7.5;78.1
India;Asia;2006;No;53.6;71.1;1.35;moderada;baixa;moderada;moderada;21.1;0.14;1015;1165.49;27.1;28;4.9;64.9
Nepal;Asia;2012;No;33.5;41.5;0.26;alta;moderada;alta;alta;22;0.17;791;26.99;16.3;16.7;4;68.4
Norway;Rest of Europe;2011;Yes;2.5;3.1;6.44;elevada;alta;alta;alta;26.4;0.04;72195;4.95;0.7;0.7;12.8;81.3
Fiji;Oceania;2004;No;19.4;22.8;2.05;alta;elevada;alta;alta;26.6;0.04;4559;0.82;4.2;3.9;9.3;66.2
Botswana;Africa;2007;No;39.5;58.6;6.87;alta;elevada;alta;alta;24;9.57;5612;1.88;9.2;9;8.5;55
Iran Islamic Rep;Middle East;2011;No;15.7;18.3;0.03;alta;moderada;alta;alta;25.8;0.07;5576;74.63;7.9;8.1;9.2;74.4
Benin;Africa;2002;No;81.5;130.5;1.34;elevada;elevada;elevada;elevada;22.3;0.93;940;7.3;9.3;9.2;2.7;56
Thailand;Asia;2000;No;18.7;22;5.81;alta;alta;alta;alta;22.9;0.66;3518;62.95;9.4;9.7;6.1;70.6
Honduras;Central America and Caribbean;2006;No;23.4;27.9;3.03;alta;elevada;alta;alta;25.6;0.14;2063;7.63;2.4;2.4;4.8;72.3
Netherlands;European Union;2012;Yes;3.6;4.2;9;elevada;alta;alta;alta;25.5;0.05;44243;16.75;1;0.9;12;81.1
Canada;North America;2011;Yes;4.9;5.7;8.2;elevada;elevada;elevada;elevada;26.8;0.1;42037;34.34;0.5;0.5;12.7;81.4
Congo Dem Rep;Africa;2009;No;85.8;118;3.45;elevada;moderada;elevada;elevada;21.5;0.58;390;62.45;1.6;1.4;5.2;56.4
Hungary;European Union;2007;Yes;5.8;6.8;12.54;elevada;alta;alta;alta;26.5;0.08;11797;10.06;1.9;1.9;11.3;73.2
Vanuatu;Oceania;2001;No;23.7;28.3;0.76;moderada;moderada;moderada;elevada;25.5;0.17;2679;0.19;1.7;1.6;6.5;67.6
Nepal;Asia;2000;No;58.7;79.1;0.084;baixa;moderada;elevada;elevada;20.7;0.17;561;23.94;18.5;19.2;2.4;62.3
United States;North America;2010;Yes;6.2;7.3;8.56;alta;elevada;alta;alta;28.5;0.13;52963;309.33;0.7;0.6;13.2;78.5
Cote d'Ivoire;Africa;2002;No;91.6;136.7;4.56;baixa;moderada;elevada;moderada;22.8;3.2;1679;17.23;7.7;7.7;3.4;49.5
Antigua and Barbuda;Central America and Caribbean;2012;No;7.5;9;8.22;alta;alta;alta;alta;26.3;0.2;13803;0.09;3.3;3.3;9.2;76.1
Bangladesh;Asia;2000;No;63.1;86;0.005;elevada;moderada;elevada;elevada;20.2;0.01;654;127.66;2.9;21.5;4.1;65.4
Iraq;Middle East;2008;No;30.3;37.1;0.17;moderada;elevada;elevada;moderada;27.8;0.13;3860;28.39;5.4;5.1;6.2;68.2
Fiji;Oceania;2002;No;19;22.4;2.27;alta;elevada;alta;alta;26.4;0.03;4301;0.82;4.2;3.9;9.4;66
Comoros;Africa;2004;No;71;98.5;0.27;elevada;moderada;elevada;elevada;23.2;0.02;1177;0.6;7.5;7.5;2.8;59.9
Mexico;North America;2010;No;16.4;19.2;4.05;alta;alta;alta;alta;27.5;0.16;8879;114.09;1.6;1.6;8;75.1
Uzbekistan;Asia;2003;No;43;50.4;2.92;alta;alta;alta;alta;25.1;0.05;1390;25.57;3.3;3.3;9.5;67.9
Peru;South America;2003;No;23.5;30.4;4.59;moderada;moderada;alta;alta;25.3;0.19;3529;27.37;1.3;1.3;8.4;72.2
Pakistan;Asia;2008;No;72.8;90.9;0.036;moderada;baixa;moderada;moderada;23.2;0.13;1239;171.65;2.7;21.1;4.4;64.7
Georgia;Rest of Europe;2005;No;21;23.6;4.36;elevada;elevada;elevada;elevada;26.3;0.07;2330;3.9;2.8;2.9;12.1;70.5
Myanmar;Asia;2009;No;50.5;66.3;0.88;alta;moderada;alta;alta;22;0.36;826;50.25;13.1;13.4;4;63.1
Benin;Africa;2001;No;83.3;133.7;1.39;elevada;elevada;elevada;elevada;22.2;0.98;926;7.08;9.5;9.4;2.6;55.7
Iceland;Rest of Europe;2007;Yes;2.4;3;7.53;elevada;alta;alta;alta;25.9;0.04;53646;0.31;0.9;0.9;10.3;81.5
Lithuania;European Union;2003;Yes;7.6;9.5;11.29;alta;alta;alta;alta;26.1;0.05;8276;3.42;3.2;3.2;11.3;72.1
Iran Islamic Rep;Middle East;2015;No;13.3;15.5;0.01;alta;moderada;alta;alta;26.1;0.04;5201;78.49;8.5;8.6;9.8;75.8
Samoa;Oceania;2010;No;16.6;19.3;2.96;moderada;baixa;elevada;moderada;31.5;0.17;4083;0.19;0.2;0.2;10;71.7
Poland;European Union;2015;Yes;4.2;4.9;10.47;alta;alta;alta;alta;26.6;0.08;12578;37.99;1.9;2;12.1;77.5
Grenada;Central America and Caribbean;2011;No;13.3;15.3;7.68;alta;elevada;alta;alta;26.5;0.4;8077;0.11;3.8;3.8;8.4;72.8
Moldova;Rest of Europe;2011;No;14.5;16.8;8.21;alta;alta;alta;alta;26.7;0.41;2388;2.86;2.8;3;11.1;70.1
Australia;Oceania;2011;Yes;3.8;4.5;10.3;alta;alta;alta;alta;27;0.05;54108;22.34;0.6;0.6;12.5;81.9
Indonesia;Asia;2014;No;24.1;28.8;0.09;elevada;baixa;alta;elevada;22.9;0.17;3217;255.13;1.4;1.2;7.8;70.5
Israel;Middle East;2002;Yes;5.2;6.4;2.79;alta;alta;alta;alta;26.3;0.08;27493;6.57;1.1;1.1;12.1;79.5
Oman;Middle East;2006;No;10.7;12.5;0.54;alta;alta;alta;alta;25.7;0.05;19941;2.58;7;6.8;7;74.6
Italy;European Union;2015;Yes;3;3.5;7.14;alta;elevada;alta;alta;25.6;0.06;30242;60.73;0.6;0.6;10.2;82.5
Cuba;Central America and Caribbean;2015;No;4.5;5.7;4.65;alta;alta;alta;alta;25.6;0.16;7694;11.32;3.5;3.3;11.4;78.6
Lesotho;Africa;2009;No;73.6;104.2;2.92;alta;elevada;elevada;alta;24.6;13.42;948;1.99;7.6;7.4;5.9;44.1
Gabon;Africa;2007;No;45.2;69.2;8.65;elevada;moderada;elevada;elevada;24.5;2.26;7301;1.47;6.9;6.8;7.2;59.2
Kyrgyz Republic;Asia;2005;No;34.1;39.2;6.52;alta;moderada;alta;alta;25.2;0.1;821;5.16;3.4;3.4;10.2;68
Mali;Africa;2009;No;78.8;135.1;0.57;elevada;moderada;elevada;elevada;22.5;0.56;717;14.58;9;8.8;1.9;54.8
Senegal;Africa;2001;No;65.2;122.9;0.24;elevada;baixa;baixa;moderada;22.2;0.67;1086;10.04;12.1;12.1;2.3;58.2
Cambodia;Asia;2011;No;34.6;40.5;2.4;elevada;moderada;alta;elevada;21.7;0.13;940;14.54;11;11.2;4.4;67
Libya;Africa;2009;No;15.1;17.6;0.014;alta;alta;alta;alta;27.5;0.09;13025;6.13;5.6;5.4;7.1;72.1
Tajikistan;Asia;2000;No;67.6;83.6;0.81;moderada;moderada;elevada;elevada;24.1;0.01;434;6.22;4.2;4.1;10.6;62
Lao PDR;Asia;2011;No;49.7;65.1;6.3;elevada;moderada;elevada;elevada;22.3;0.17;1687;6.35;9.2;9.4;4.8;64.8
Japan;Asia;2008;Yes;2.5;3.4;7.06;elevada;elevada;alta;alta;22.6;0.17;33558;128.06;1.8;1.5;11.4;82.6
Togo;Africa;2011;No;56.7;86.2;1.12;elevada;moderada;elevada;elevada;23.2;0.97;501;6.6;7.1;7;4.4;58.1
Albania;Rest of Europe;2004;No;19.1;21.5;4.42;alta;alta;alta;alta;25.5;0.02;2522;3.03;1.8;1.9;9.1;75
Cabo Verde;Africa;2006;No;23.4;27.9;4.36;alta;alta;alta;alta;23.9;0.3;2569;0.47;8.3;8.3;4.5;70.6
Burundi;Africa;2013;No;50.7;75.5;3.98;alta;moderada;alta;alta;21.5;0.34;325;9.54;7.4;7.4;2.8;59.1
Burundi;Africa;2002;No;88.9;143.8;6.51;elevada;moderada;elevada;elevada;20.8;1.23;311;6.7;8.7;8.7;2;50.8
Seychelles;Africa;2010;No;12.1;14.1;5.54;alta;alta;alta;alta;26.2;3.5;12336;0.09;5.8;6.2;8.1;73.2
Kenya;Africa;2014;No;36.4;50.6;1.45;alta;baixa;alta;alta;23.2;1.36;1430;46.7;7.8;7.7;6.3;64.1
Peru;South America;2015;No;12.2;15.7;5.68;alta;moderada;elevada;alta;26.5;0.13;6229;30.47;1.1;1.1;9.1;75.8
Iraq;Middle East;2011;No;27.9;33.8;0.18;elevada;elevada;elevada;elevada;28.1;0.13;4218;30.73;5.3;5.1;6.6;68.8
Vanuatu;Oceania;2015;No;23.6;28.2;1.42;moderada;moderada;elevada;moderada;26.1;0.17;2696;0.27;1.5;1.4;6.8;69.9
Equatorial Guinea;Africa;2008;No;84.5;119.7;7.71;baixa;moderada;moderada;baixa;23.4;4.23;16439;0.86;9.3;9.3;5.4;55.1
Azerbaijan;Asia;2000;No;60.9;74.4;0.66;moderada;moderada;elevada;elevada;25.6;0.12;1481;8.05;3.2;3.1;10.6;66.8
Georgia;Rest of Europe;2006;No;19;21.3;5.69;elevada;elevada;elevada;elevada;26.4;0.08;2564;3.88;2.7;2.9;12.1;70.6
Belgium;European Union;2004;Yes;4.2;5.1;12.05;moderada;elevada;alta;alta;25.7;0.08;37761;10.42;0.8;0.8;10.5;78.9
Antigua and Barbuda;Central America and Caribbean;2008;No;9.2;11.1;8.41;alta;elevada;alta;alta;25.9;0.1;17771;0.09;3.4;3.3;9.3;75.5
Eritrea;Africa;2009;No;40.2;57.1;0.85;alta;elevada;alta;alta;20.5;0.28;650;3.12;9;8.9;3.8;61.6
Chad;Africa;2011;No;82.3;143.7;0.6;baixa;moderada;baixa;baixa;21.7;0.56;701;12.36;9.2;9.1;2;51.4
Panama;Central America and Caribbean;2014;No;15.1;17.6;6.3;elevada;alta;elevada;elevada;26.8;0.4;13113;3.9;1.9;1.8;9.9;77.6
Honduras;Central America and Caribbean;2011;No;19.1;22.4;2.71;alta;elevada;alta;alta;26.2;0.08;2160;8.48;2.2;2.2;5.6;73.6
Yemen Rep;Middle East;2009;No;46.4;60.1;0.028;elevada;alta;elevada;elevada;23.2;0.03;2599;22.52;13.8;13.7;2.5;65.3
Guatemala;Central America and Caribbean;2001;No;39.5;50.1;2.41;elevada;elevada;elevada;elevada;25.1;0.4;3192;11.87;1.5;1.5;3.8;68.3
Yemen Rep;Middle East;2002;No;62.8;85.7;0.07;baixa;alta;moderada;moderada;22.5;0.02;2427;18.44;14;14;1.5;61.8
Ecuador;South America;2005;No;19.9;23.5;3.9;alta;alta;elevada;alta;25.9;0.18;4893;13.83;1.4;1.3;7.3;74.1
Cyprus;European Union;2007;Yes;3.3;3.9;11.58;alta;alta;alta;alta;26.7;0.05;27155;1.06;0.9;1;11.2;78.9
Haiti;Central America and Caribbean;2013;No;55.3;73.7;2.85;moderada;elevada;moderada;moderada;25;0.76;1367;10.4;3.9;3.9;5;61.7
Albania;Rest of Europe;2009;No;12.9;14.5;5.79;alta;alta;alta;alta;26;0.03;3432;2.93;1.5;1.6;9.3;76.2
Thailand;Asia;2009;No;12.2;14.2;6.74;alta;alta;alta;alta;23.7;0.25;4826;66.87;8.3;8.5;7.5;73.8
Thailand;Asia;2006;No;14.1;16.4;6.1;alta;alta;alta;alta;23.4;0.33;4604;65.81;8.7;8.9;7;72.5
Mexico;North America;2001;No;22.8;27.1;5.02;alta;alta;alta;alta;26.8;0.15;8703;100.3;1.9;1.9;6.8;74.7
Somalia;Africa;2005;No;104.4;172.6;0;baixa;moderada;baixa;baixa;22.5;0.13;225;10.45;7.5;7.3;2.1;52.3
Bosnia and Herzegovina;Rest of Europe;2006;No;7.5;8.6;4.72;alta;alta;alta;elevada;25.1;0.08;3691;3.77;2.9;2.8;7.4;75.3
Rwanda;Africa;2005;No;65.5;105.4;9.25;alta;elevada;alta;alta;21.3;2.07;457;8.84;6.8;7;2.8;55.3
Switzerland;Rest of Europe;2003;Yes;4.5;5.3;10.82;elevada;elevada;alta;alta;24.9;0.1;73556;7.34;0.6;0.5;11.8;80.5
Paraguay;South America;2005;No;25;30;5.51;alta;baixa;alta;alta;25.5;0.17;3923;5.82;2.3;2.2;7.3;71.7
Moldova;Rest of Europe;2002;No;21.7;25.8;5.84;alta;alta;alta;alta;26;0.28;1538;2.91;3.4;3.6;9.6;67.4
Belize;Central America and Caribbean;2006;No;17.6;20.6;6.28;alta;alta;alta;alta;28;1.05;4898;0.29;3.6;3.5;10.3;70.3
Congo Rep;Africa;2008;No;46.9;69;1.3;elevada;moderada;elevada;elevada;22.7;2.07;2103;4.01;8.4;8;6;58.5
Central African Republic;Africa;2000;No;109.9;168.9;1.68;baixa;moderada;baixa;baixa;21.5;4.38;460;3.64;1.5;1.5;2.9;44.2
Czechia;European Union;2005;Yes;3.6;4.4;13.66;alta;alta;alta;alta;26.6;0.08;14978;10.21;2.1;2.1;11.9;75.9
Cambodia;Asia;2015;No;27.3;31.8;3.34;elevada;moderada;alta;elevada;22.1;0.1;1163;15.52;1.9;1.9;4.7;68.6
Vietnam;Asia;2005;No;19.9;24.9;1.19;alta;moderada;alta;alta;20.4;0.24;1557;83.83;15.3;16;6.4;74.1
Slovak Republic;European Union;2001;Yes;7.9;9.4;11.12;alta;alta;alta;alta;25.5;0.01;9222;5.38;1.5;1.6;10.1;73.4
Georgia;Rest of Europe;2012;No;10.8;12.1;7.23;alta;elevada;alta;alta;27.1;0.13;3597;3.73;2.6;2.8;12.5;72.1
Hungary;European Union;2015;Yes;4.2;5.1;10.95;elevada;alta;alta;alta;27.2;0.08;12721;9.84;1.6;1.6;11.8;75.6
Brunei Darussalam;Asia;2013;No;8.4;10.2;0.69;alta;alta;alta;alta;26.8;0.1;32925;0.4;5.8;5.2;8.9;75.1
Sierra Leone;Africa;2009;No;110.6;167.7;3.98;elevada;moderada;elevada;elevada;22.6;1.17;520;6.27;8.5;8.4;3;48.5
Guinea-Bissau;Africa;2012;No;66.8;104.2;3;elevada;moderada;elevada;elevada;23.2;2.03;590;1.6;7.7;7.5;2.8;55.6
Luxembourg;European Union;2010;Yes;2.3;2.8;11.84;alta;elevada;alta;alta;26.1;0.1;106544;0.51;0.9;0.9;11.8;80.6
Costa Rica;Central America and Caribbean;2013;No;8.2;9.6;3.02;alta;alta;alta;alta;27.1;0.19;11090;4.74;1.7;1.7;8.5;79.2
Russian Federation;Rest of Europe;2009;No;8.6;10.7;11.25;alta;alta;alta;alta;26.1;0.08;8382;142.79;2.3;2.5;11.5;68.7
Timor-Leste;Oceania;2011;No;49.4;58.8;0.44;moderada;moderada;moderada;moderada;20.8;0.08;1234;1.11;11.3;11.4;4.5;67.5
Philippines;Asia;2013;No;23.9;30.5;4.61;elevada;moderada;elevada;elevada;22.9;0.07;2740;98.87;1;9.7;9.1;70.3
Mauritania;Africa;2007;No;65;103.7;0.022;elevada;moderada;elevada;elevada;24.4;0.28;1510;3.2;9.4;9.1;3.5;61.8
Bulgaria;European Union;2011;Yes;8.7;10.4;9.88;alta;alta;alta;alta;26.1;0.03;6605;7.35;2;2;10.7;74.2
Greece;European Union;2005;Yes;4;4.6;9.15;alta;elevada;alta;alta;26.9;0.05;22186;10.99;0.8;0.7;9.8;79.2
Angola;Africa;2005;No;100.9;166.1;3.49;moderada;moderada;baixa;baixa;22.3;1.49;2407;19.43;1;9.9;4.4;50.2
Ireland;European Union;2014;Yes;3.3;3.8;10.88;alta;elevada;alta;alta;27.3;0.07;50010;4.66;0.3;0.2;12.3;81.3
Vietnam;Asia;2012;No;17.9;22.4;2.57;alta;moderada;alta;alta;21.3;0.14;2217;89.8;14.4;15;7.8;75
Micronesia Fed Sts;Oceania;2013;No;25.6;30.7;1.6;elevada;moderada;elevada;elevada;29.5;0.17;2923;0.11;0.2;0.2;8;67
Guyana;South America;2013;No;28.8;35;5.72;alta;alta;alta;alta;26.1;0.58;5505;0.76;5.5;5.3;8.3;68.8
Iceland;Rest of Europe;2010;Yes;2.2;2.7;6.79;elevada;alta;alta;alta;26;0.05;48194;0.32;0.9;0.9;10.6;81.9
Italy;European Union;2011;Yes;3.3;3.9;6.98;alta;elevada;alta;alta;25.7;0.08;32229;59.38;0.5;0.5;9.8;82.2
Rwanda;Africa;2014;No;35.7;49.7;6.5;alta;elevada;alta;alta;21.9;0.66;708;11.08;5.8;5.8;4;66.9
Congo Dem Rep;Africa;2007;No;90.4;126.7;2.91;elevada;moderada;elevada;elevada;21.3;0.68;381;58.45;11.1;1.9;4.8;55.1
Zimbabwe;Africa;2006;No;53.4;95;2.35;moderada;moderada;elevada;elevada;23.5;8.78;1091;12.16;8.6;8.6;6.8;43.9
India;Asia;2005;No;55.7;74.4;1.25;elevada;baixa;moderada;moderada;21;0.16;954;1147.61;27.2;28.1;4.8;64.5
Denmark;European Union;2006;Yes;4;4.8;11.02;elevada;alta;alta;alta;25.2;0.04;53687;5.44;1.2;0.9;12.8;78.1
Kuwait;Middle East;2008;No;9.4;10.9;0.032;alta;elevada;alta;alta;28.9;0.13;39777;2.66;3.3;3.1;6.5;74
Honduras;Central America and Caribbean;2013;No;17.7;20.7;2.7;alta;elevada;alta;alta;26.4;0.07;2228;8.8;2.2;2.1;5.8;74.1
Liberia;Africa;2004;No;97.2;139.8;4.25;moderada;moderada;baixa;baixa;23.3;3.5;540;3.14;8.5;8.5;3.7;54.4
Singapore;Asia;2008;No;2.3;2.8;1.69;alta;alta;alta;alta;23.5;0.12;44602;4.84;2.1;2.1;10.5;80.8
Azerbaijan;Asia;2008;No;36.8;42.7;1.12;moderada;elevada;elevada;elevada;26.2;0.12;4693;8.76;2.8;2.9;10.2;70.2
Burkina Faso;Africa;2011;No;66.3;116.9;5.32;alta;baixa;alta;alta;21.9;0.28;603;16.08;8.8;8.4;1.4;57.8
Liberia;Africa;2003;No;104.3;151.3;4.23;moderada;moderada;baixa;baixa;23.2;3.5;536;3.08;8.7;8.7;3.7;53.6
Gabon;Africa;2008;No;43.9;66.7;8.31;elevada;moderada;elevada;elevada;24.6;2.15;6846;1.52;6.8;6.6;7.3;59.9
Vietnam;Asia;2014;No;17.6;22;2.78;alta;moderada;alta;alta;21.6;0.12;2438;91.71;14.3;14.7;7.8;75.1
Kuwait;Middle East;2009;No;9.2;10.7;0.1;alta;alta;alta;alta;29;0.13;34800;2.82;3.3;3.2;6.6;74.2
Trinidad and Tobago;Central America and Caribbean;2014;No;17.8;19.9;5.9;alta;alta;alta;alta;27.4;0.4;18167;1.36;5.8;6;10.8;72.8
El Salvador;Central America and Caribbean;2012;No;15.1;17.6;2.41;alta;alta;alta;alta;27.3;0.2;3529;6.24;1.6;1.6;6.7;71.7
Singapore;Asia;2009;No;2.3;2.8;1.73;alta;alta;alta;alta;23.5;0.12;43333;4.99;2.1;2.1;10.5;81.2
Uganda;Africa;2008;No;54.5;86.8;11.37;elevada;moderada;moderada;elevada;21.8;3.44;725;30.43;6.2;6.2;5.2;55
Hungary;European Union;2010;Yes;5.1;6;10.7;elevada;alta;alta;alta;26.8;0.08;11314;10;1.8;1.8;11.9;74.2
Iran Islamic Rep;Middle East;2012;No;15;17.5;0.02;alta;moderada;alta;alta;25.9;0.05;5302;75.54;8;8.2;9.5;74.8
Albania;Rest of Europe;2012;No;10;11.2;4.43;alta;alta;alta;alta;26.3;0.03;3736;2.9;1.3;1.4;9.6;77.3
Cuba;Central America and Caribbean;2006;No;5.7;7.2;4.17;elevada;alta;alta;elevada;25;0.14;5808;11.26;3.4;3.2;10.1;77.9
Papua New Guinea;Oceania;2004;No;50.4;66.2;0.55;moderada;moderada;moderada;moderada;24.5;0.61;1814;6.35;1.5;1.4;3.5;60.2
Grenada;Central America and Caribbean;2008;No;12.7;14.7;9.04;alta;elevada;alta;alta;26.2;0.4;8736;0.11;3.8;3.9;8.1;73
Venezuela;South America;2014;No;15.4;18;6.6;elevada;elevada;elevada;elevada;26.6;0.4;16056;30.04;1.6;1.5;10;72.8
Bahamas;Central America and Caribbean;2003;No;14.3;16.7;10.59;elevada;elevada;alta;alta;27;0.75;35456;0.31;2.6;2.5;10.9;72
Romania;European Union;2001;Yes;17.3;20.5;12.07;alta;alta;alta;alta;24.9;0.05;4853;22.13;3.8;4.2;9.7;71.2
Bhutan;Asia;2000;No;57.5;77.2;1.66;alta;elevada;alta;alta;22.2;0.21;1108;0.59;19.2;19.9;2.3;60.9
Peru;South America;2004;No;22;28.3;4.54;alta;moderada;elevada;elevada;25.4;0.19;3671;27.62;1.3;1.3;8.6;72.6
Slovenia;European Union;2005;Yes;3.5;4.2;11.19;elevada;alta;alta;alta;25.7;0.03;19239;2;1.9;2;11.7;77.6
Antigua and Barbuda;Central America and Caribbean;2000;No;12.6;15.5;6.86;alta;moderada;alta;alta;25.1;0.1;14070;0.08;3.7;3.6;7;73.9
Nepal;Asia;2001;No;55.8;74.6;0.091;baixa;moderada;elevada;elevada;20.8;0.17;578;24.35;18.3;19;2.5;62.9
Trinidad and Tobago;Central America and Caribbean;2000;No;24.7;27.9;4.81;elevada;elevada;alta;alta;25.9;0.4;10669;1.27;6.7;7.2;9.2;69.4
Central African Republic;Africa;2015;No;87.9;123.3;0.9;baixa;moderada;moderada;baixa;22.8;1.12;377;4.49;8.2;8.2;4.2;50.9
Uganda;Africa;2007;No;57.9;92.8;10.77;elevada;moderada;elevada;elevada;21.7;3.56;688;29.49;6.3;6.3;4.8;53.9
Oman;Middle East;2002;No;12.5;14.5;0.53;alta;alta;alta;alta;25.5;0.05;20702;2.33;7.1;6.8;5.9;73
Norway;Rest of Europe;2008;Yes;2.9;3.6;6.75;elevada;alta;alta;alta;26.3;0.03;75044;4.77;0.7;0.7;12.7;80.6
Mexico;North America;2005;No;19.5;22.9;5.03;alta;alta;alta;alta;27.2;0.15;8878;106.01;1.8;1.7;7.6;75.3
Senegal;Africa;2011;No;40.7;62.1;0.21;alta;baixa;elevada;alta;22.8;0.16;1133;13.03;1.2;1.1;2.4;64.9
Lesotho;Africa;2012;No;70.2;92.7;2.47;alta;elevada;alta;alta;24.8;11.57;1097;2.01;6.4;6.2;5.9;47.4
Uruguay;South America;2004;No;13.2;15.1;5.88;alta;alta;alta;alta;26.2;0.18;9464;3.32;1.7;1.6;8;75.6
Pakistan;Asia;2010;No;70.1;87.1;0.04;elevada;baixa;moderada;elevada;23.4;0.13;1239;179.42;2.2;2.7;4.7;65.3
Russian Federation;Rest of Europe;2013;No;7.6;9.4;9.77;alta;alta;alta;alta;26.2;0.08;9622;143.51;2.3;2.3;11.8;70.6
Ukraine;Rest of Europe;2012;No;9.2;10.7;8.54;baixa;moderada;elevada;elevada;26.4;0.26;2460;45.59;2.4;2.4;11.3;70.9
Liberia;Africa;2001;No;119.7;176.6;4.42;moderada;moderada;moderada;baixa;23.1;3.5;770;2.95;9;9;3.5;52.2
Samoa;Oceania;2011;No;16.5;19.2;2.1;moderada;moderada;elevada;moderada;31.6;0.17;4219;0.19;0.2;0.1;10.2;71.9
Bulgaria;European Union;2014;Yes;7.3;8.7;10.3;alta;elevada;elevada;elevada;26.3;0.03;6797;7.22;1.9;1.9;10.9;74.5
Cote d'Ivoire;Africa;2012;No;71;100.1;1.2;elevada;moderada;elevada;elevada;23.6;1;1637;21.55;5.9;5.9;4.5;54.3
Denmark;European Union;2010;Yes;3.5;4.1;10.27;elevada;elevada;alta;alta;25.3;0.04;51173;5.55;1.1;0.9;12.7;79.1
Trinidad and Tobago;Central America and Caribbean;2009;No;20.7;23.2;5.93;alta;elevada;alta;alta;26.9;0.4;17700;1.32;6;6.4;10.7;71.7
Switzerland;Rest of Europe;2002;Yes;4.5;5.4;10.85;elevada;elevada;alta;alta;24.9;0.1;74138;7.28;0.6;0.5;11.7;80.4
Togo;Africa;2001;No;73.7;116.4;0.88;elevada;moderada;moderada;moderada;22.1;2.66;496;5.06;9.2;9.1;4;53.6
Mali;Africa;2001;No;98.8;181.1;0.6;elevada;moderada;moderada;baixa;21.6;0.99;641;11.27;1.8;1.7;1.3;48.8
Colombia;South America;2010;No;15.7;18.3;4.22;elevada;elevada;elevada;elevada;25.7;0.21;5163;45.22;2.2;2;7.4;75.4
Mali;Africa;2004;No;90.7;162.2;0.55;elevada;moderada;elevada;moderada;22;0.81;667;12.37;1.1;1;1.6;51.2
China;Asia;2013;No;9.8;12.5;5.62;alta;alta;alta;alta;23.5;0.1;7056;1363.24;3.8;3.2;7.5;75.3
Malawi;Africa;2012;No;45.6;70.7;1.87;alta;moderada;alta;alta;22.6;3.69;362;15.4;6.6;6.5;4.3;58.6
Algeria;Africa;2008;No;25.3;29.5;0.37;alta;alta;alta;alta;24.9;0.02;3856;34.73;6;5.9;6.7;74.3
South Africa;Africa;2003;No;48.4;75.7;7.32;elevada;moderada;elevada;moderada;26.4;11.87;5203;46.72;13.5;16.1;8.8;53.7
Colombia;South America;2004;No;18.9;22.1;4.13;elevada;elevada;elevada;elevada;25.2;0.21;4257;42.08;2.4;2.2;6.6;74
Mexico;North America;2006;No;18.8;22.1;5.2;alta;alta;alta;alta;27.2;0.16;9143;107.56;1.8;1.7;8;75.3
India;Asia;2009;No;47.2;61.4;2.46;baixa;baixa;elevada;elevada;21.3;0.11;1162;1217.73;27;27.8;5.3;66.2
Slovak Republic;European Union;2003;Yes;7.3;8.8;10.23;alta;alta;alta;alta;25.6;0.01;10178;5.37;1.5;1.6;10.4;73.6
South Africa;Africa;2013;No;30.1;39.3;7.21;elevada;moderada;elevada;elevada;27.1;7.97;6285;53.69;5.4;6.5;9.9;61.1
Libya;Africa;2003;No;21.9;25.5;0.012;alta;alta;alta;alta;27.1;0.06;11265;5.62;5.6;5.4;6.1;71.5
Uganda;Africa;2014;No;40.6;58.8;7.25;elevada;moderada;elevada;elevada;22.3;2.26;834;36.91;5.7;5.6;5.5;60.7
Cambodia;Asia;2005;No;52.8;64.7;1.1;elevada;baixa;elevada;elevada;21.1;0.35;696;13.27;11.5;11.6;3.5;63.1
Cabo Verde;Africa;2004;No;24;28.6;4.25;alta;alta;alta;alta;23.7;0.38;2287;0.46;8.7;8.7;4.2;70.2
Armenia;Rest of Europe;2001;No;25.7;29.1;2.87;moderada;alta;alta;alta;25.7;0.08;1422;3.05;2.1;2.1;10.7;71.8
Norway;Rest of Europe;2002;Yes;3.7;4.6;5.89;elevada;alta;alta;alta;25.8;0.03;69106;4.54;0.8;0.7;12.1;79
Ukraine;Rest of Europe;2003;No;13.6;15.8;6.81;elevada;alta;alta;alta;25.9;0.49;1833;47.81;2.8;2.9;10.6;68.2
